repository,repo_id,content_type,template_type,timestamp,file_path,section_name,header_pattern,is_meaningful_content,importance,importance_numeric,reason,manual_eval,TP,FP,FN,TN
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,What should happen,## What should happen,TRUE,high,1,"This section explains the expected behavior, which is necessary to understand the nature of the bug.",1,1,0,0,0
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,Logs,## Logs,FALSE,low,0,"This section is for attaching logs, which are supporting data but not a description of the issue itself.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,Your device,## Your device,FALSE,low,0,"This section is for device metadata, not substantive content about the issue.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,Platform,## Platform,FALSE,low,0,"This section collects platform metadata, not a description of the bug or change.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,Mobile phone model or graphics card,## Mobile phone model or graphics card,FALSE,low,0,"This section is for hardware metadata, not meaningful content about the issue.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,PPSSPP version affected,## PPSSPP version affected,FALSE,low,0,"This section is for version metadata, not a substantive description.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,Last working version,## Last working version,FALSE,low,0,"This section is for version comparison metadata, not a description of the actual issue.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,Graphics backend,## Graphics backend,FALSE,low,0,"This section is for technical metadata, not meaningful content about the bug.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2023-12-21 10:40:38,.github/ISSUE_TEMPLATE/bug.yml,Mobile device model or graphics card,## Mobile device model or graphics card,FALSE,low,0,"This section is for hardware metadata, not a description of the issue.",0,0,0,0,1
hrydgard.ppsspp,10,issue,build,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/build.md,"What platform, compiler, and build tools?","### What platform, compiler, and build tools?",TRUE,high,1,"This section asks for specific details about the environment, which are crucial for understanding and reproducing the issue.",0,0,1,0,0
hrydgard.ppsspp,10,issue,build,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/build.md,What are you using?,### What are you using?,TRUE,medium,1,"This section provides context about the user's setup, which helps in understanding the environment but is secondary to the main issue description.",0,0,1,0,0
hrydgard.ppsspp,10,issue,build,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/build.md,What hardware / device and operating system?,#### What hardware / device and operating system?,TRUE,medium,1,"This subsection gives specific hardware and OS details, which are important for context but not the core issue.",0,0,1,0,0
hrydgard.ppsspp,10,issue,build,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/build.md,"What PPSSPP version, and did it work before?","#### What PPSSPP version, and did it work before?",TRUE,medium,1,"This subsection provides version history and regression information, which is useful for troubleshooting.",0,0,1,0,0
hrydgard.ppsspp,10,issue,build,2021-05-22 17:22:27,.github/ISSUE_TEMPLATE/build.md,What compile flags or command did you run specifically?,### What compile flags or command did you run specifically?,TRUE,high,1,"This section requests the exact commands or flags used, which directly affect the build process and are essential for diagnosing problems.",0,0,1,0,0
hrydgard.ppsspp,10,issue,build,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/build.yml,Compiler and build tool versions,## Compiler and build tool versions,FALSE,low,0,"This section is for metadata about the build environment, not the actual problem or change.",0,0,0,0,1
hrydgard.ppsspp,10,issue,build,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/build.yml,Operating system version,## Operating system version,FALSE,low,0,"This section is for metadata about the OS, not the substantive content of the issue.",0,0,0,0,1
hrydgard.ppsspp,10,issue,build,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/build.yml,Build commands used,## Build commands used,FALSE,low,0,"This section asks for procedural details about how the build was run, not the actual issue or change.",0,0,0,0,1
hrydgard.ppsspp,10,issue,build,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/build.yml,What happens,## What happens,TRUE,high,1,"This section describes the actual problem, error messages, and logs, which are the core of the report.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/feature.md,What should happen?,### What should happen?,TRUE,high,1,"This section asks for a description of the desired feature or behavior, which is the core of the request.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/feature.md,Who would benefit from it?,### Who would benefit from it?,TRUE,medium,1,"This section provides context about the impact and target users, supporting the main request.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/feature.md,What's it specific to?,### What's it specific to?,TRUE,medium,1,"This section clarifies the scope or applicability of the feature, which helps in understanding the request.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/feature.md,"Hardware, device, or operating system?","#### Hardware, device, or operating system?",TRUE,medium,1,"This subsection specifies technical details relevant to the feature, aiding in implementation or triage.",0,0,1,0,0
hrydgard.ppsspp,10,issue,feature,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/feature.md,Specific games?,#### Specific games?,TRUE,medium,1,"This subsection identifies if the feature is relevant to particular games, which is important for context.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/feature.md,Does anything else have a similar feature?,### Does anything else have a similar feature?,TRUE,medium,1,"This section provides comparative context, which can inform design or prioritization.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/feature.yml,Who would this benefit,## Who would this benefit,TRUE,medium,1,"This section provides context about the intended audience or beneficiaries, supporting the rationale for the change.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/feature.yml,Games this would be useful in,## Games this would be useful in,TRUE,medium,1,"This section gives specific examples where the feature would apply, providing context and justification.",1,1,0,0,0
hrydgard.ppsspp,10,issue,feature,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/feature.yml,Other emulators or software with a similar feature,## Other emulators or software with a similar feature,TRUE,medium,1,"This section offers comparative context, helping to justify the feature by referencing similar implementations.",1,1,0,0,0
hrydgard.ppsspp,10,issue,graphics,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/graphics.md,Include a GE frame capture,### Include a GE frame capture,TRUE,medium,1,"This section asks for supporting evidence (frame capture) that helps illustrate the issue, providing context.",0,0,1,0,0
hrydgard.ppsspp,10,issue,graphics,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/graphics.md,Graphics backend?,#### Graphics backend?,FALSE,low,0,"This section is for metadata about the graphics backend, not the main content.",0,0,0,0,1
hrydgard.ppsspp,10,issue,graphics,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/graphics.yml,What area of the game,## What area of the game,TRUE,high,1,"Describes the specific in-game location or scenario where the issue occurs, crucial for targeted debugging.",1,1,0,0,0
hrydgard.ppsspp,10,issue,graphics,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/graphics.yml,GE frame capture,## GE frame capture,FALSE,low,0,"This section is for uploading supporting files, not for describing the issue itself.",0,0,0,0,1
hrydgard.ppsspp,10,issue,issue-template,2023-12-21 10:40:38,.github/issue_template.md,What graphics card or mobile device model?,#### What graphics card or mobile device model?,FALSE,low,0,"This subsection collects metadata about the GPU or device model, not about the actual issue.",0,0,0,0,1
hrydgard.ppsspp,10,issue,performance,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/performance.md,What games and where in them does it happen?,### What games and where in them does it happen?,TRUE,high,1,"This section asks for specific details about which games and locations are affected, directly describing the problem.",1,1,0,0,0
hrydgard.ppsspp,10,issue,performance,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/performance.md,What speed are you getting with PPSSPP speed display enabled?,### What speed are you getting with PPSSPP speed display enabled?,TRUE,high,1,"This section requests concrete performance data, which is essential to understanding the slowdown.",1,1,0,0,0
hrydgard.ppsspp,10,issue,performance,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/performance.md,Include a GE frame capture and debug stats,### Include a GE frame capture and debug stats,TRUE,medium,1,"This section asks for supporting evidence (frame capture, debug stats) that helps diagnose the issue.",0,0,1,0,0
hrydgard.ppsspp,10,issue,performance,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/performance.yml,Speed seen in PPSSPP,## Speed seen in PPSSPP,TRUE,medium,1,"This section provides quantitative data about the performance issue, supporting the main report with evidence.",1,1,0,0,0
hrydgard.ppsspp,10,issue,performance,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/performance.yml,GE frame capture and debug statistics,## GE frame capture and debug statistics,FALSE,low,0,"This section is for attaching files and screenshots, which are supplementary and do not describe the issue directly.",0,0,0,0,1
hrydgard.ppsspp,10,issue,performance,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/performance.yml,Any other notes or things you've tried,## Any other notes or things you've tried,TRUE,medium,1,"This section can provide additional context or troubleshooting steps, which can help in understanding or resolving the issue.",1,1,0,0,0
immich-app.immich,11,issue,bug-report,2022-03-19 12:18:21,.github/ISSUE_TEMPLATE/bug_report.md,Describe the bug,**Describe the bug**,TRUE,high,1,"This section contains the main description of the bug, which is the core content of the report.",1,1,0,0,0
immich-app.immich,11,issue,bug-report,2022-03-19 12:18:21,.github/ISSUE_TEMPLATE/bug_report.md,To Reproduce,**To Reproduce**,TRUE,high,1,"This section details the steps to reproduce the bug, providing essential information about the issue.",1,1,0,0,0
immich-app.immich,11,issue,bug-report,2022-03-19 12:18:21,.github/ISSUE_TEMPLATE/bug_report.md,Expected behavior,**Expected behavior**,TRUE,high,1,"This section explains what should have happened, which is crucial for understanding the bug.",1,1,0,0,0
immich-app.immich,11,issue,bug-report,2022-03-19 12:18:21,.github/ISSUE_TEMPLATE/bug_report.md,Screenshots,**Screenshots**,FALSE,low,0,This section is for optional visual aids and does not describe the substantive content of the bug.,0,0,0,0,1
immich-app.immich,11,issue,bug-report,2022-03-19 12:18:21,.github/ISSUE_TEMPLATE/bug_report.md,Desktop,**Desktop:**,FALSE,low,0,"This section collects metadata about the user's environment, not about the bug itself.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2022-03-19 12:18:21,.github/ISSUE_TEMPLATE/bug_report.md,Smartphone,**Smartphone:**,FALSE,low,0,"This section collects metadata about the user's device, not about the bug itself.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2022-03-19 12:18:21,.github/ISSUE_TEMPLATE/bug_report.md,Additional context,**Additional context**,TRUE,medium,1,This section allows for extra information that may help understand or resolve the bug.,1,1,0,0,0
immich-app.immich,11,issue,bug-report,2022-05-26 15:10:50,.github/ISSUE_TEMPLATE/bug_report.md,Task List,**Task List**,FALSE,low,0,This section is a checklist for procedural steps and does not describe the bug itself.,0,0,0,0,1
immich-app.immich,11,issue,bug-report,2022-07-16 10:54:00,.github/ISSUE_TEMPLATE/bug_report.md,System,**System**,FALSE,low,0,"This section collects environment metadata, not a description of the bug or its effects.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,The bug,## The bug,TRUE,high,1,"This section asks for a description of the issue, which is the core content of the bug report.",1,1,0,0,0
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Environment,## Environment,FALSE,low,0,This section is a placeholder for environment details but does not itself request specific content.,0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,The OS that Immich Server is running on,## The OS that Immich Server is running on,FALSE,low,0,"This section collects metadata about the operating system, not about the bug itself.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Version of Immich Server,## Version of Immich Server,FALSE,low,0,"This section collects version metadata, not substantive bug details.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Version of Immich Mobile App,## Version of Immich Mobile App,FALSE,low,0,"This section collects version metadata, not substantive bug details.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Platform with the issue,## Platform with the issue,FALSE,low,0,"This section collects metadata about where the issue occurs, not the issue itself.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Your docker-compose.yml content,## Your docker-compose.yml content,FALSE,low,0,"This section requests configuration metadata, not a description of the bug.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Your .env content,## Your .env content,FALSE,low,0,"This section requests configuration metadata, not a description of the bug.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Reproduction steps,## Reproduction steps,TRUE,high,1,"This section asks for a step-by-step description of how to trigger the bug, which is essential for understanding and reproducing the issue.",1,1,0,0,0
immich-app.immich,11,issue,bug-report,2023-02-07 22:09:15,.github/ISSUE_TEMPLATE/bug_report.yaml,Additional information,## Additional information,TRUE,medium,1,"This section allows for any extra context or details about the bug, which can be important for diagnosis.",1,1,0,0,0
immich-app.immich,11,issue,bug-report,2024-04-14 3:22:33,.github/ISSUE_TEMPLATE/bug_report.yaml,Relevant log output,## Relevant log output,TRUE,medium,1,"This section provides logs that help explain or illustrate the issue, supporting the main content.",0,0,1,0,0
immich-app.immich,11,issue,bug-report,2025-03-01 21:05:36,.github/ISSUE_TEMPLATE/bug_report.yaml,I have searched the existing issues to make sure this is not a duplicate report,## I have searched the existing issues to make sure this is not a duplicate report.,FALSE,low,0,"This is a procedural checklist to avoid duplicate reports, not about the bug itself.",0,0,0,0,1
immich-app.immich,11,issue,bug-report,2025-03-01 21:05:36,.github/ISSUE_TEMPLATE/bug_report.yaml,The OS that Immich Server is running on,## The OS that Immich Server is running on,TRUE,medium,1,"This provides context about the operating system, which can be important for understanding the bug.",0,0,1,0,0
immich-app.immich,11,issue,bug-report,2025-03-01 21:05:36,.github/ISSUE_TEMPLATE/bug_report.yaml,Version of Immich Server,## Version of Immich Server,TRUE,medium,1,"This gives specific version information, which is relevant for diagnosing the issue.",0,0,1,0,0
immich-app.immich,11,issue,bug-report,2025-03-01 21:05:36,.github/ISSUE_TEMPLATE/bug_report.yaml,Version of Immich Mobile App,## Version of Immich Mobile App,TRUE,medium,1,"This provides version context for the mobile app, which may be relevant to the bug.",0,0,1,0,0
immich-app.immich,11,issue,bug-report,2025-03-01 21:05:36,.github/ISSUE_TEMPLATE/bug_report.yaml,Platform with the issue,## Platform with the issue,TRUE,medium,1,"Identifies where the issue occurs, which is useful for understanding the scope of the bug.",0,0,1,0,0
immich-app.immich,11,issue,bug-report,2025-03-01 21:05:36,.github/ISSUE_TEMPLATE/bug_report.yaml,Your docker-compose.yml content,## Your docker-compose.yml content,TRUE,medium,1,Configuration details can be crucial for reproducing and diagnosing the bug.,0,0,1,0,0
immich-app.immich,11,issue,bug-report,2025-03-01 21:05:36,.github/ISSUE_TEMPLATE/bug_report.yaml,Your .env content,## Your .env content,TRUE,medium,1,Environment variables can affect behavior and are important for debugging.,0,0,1,0,0
immich-app.immich,11,issue,bug-report,2025-03-03 4:02:36,.github/ISSUE_TEMPLATE/bug_report.yaml,"I have searched the existing issues, both open and closed, to make sure this is not a duplicate report","## I have searched the existing issues, both open and closed, to make sure this is not a duplicate report.",FALSE,low,0,This is a checklist to prevent duplicate reports and does not describe the issue itself.,0,0,0,0,1
immich-app.immich,11,issue,bug-report,2025-08-19 19:13:52,.github/ISSUE_TEMPLATE/bug_report.yaml,Device make and model,## Device make and model,FALSE,low,0,"This section collects device metadata, not substantive issue content.",0,0,0,0,1
immich-app.immich,11,issue,feature-request,2022-05-26 15:10:50,.github/ISSUE_TEMPLATE/feature_request.yaml,Feature detail,## Feature detail,TRUE,high,1,"This section asks for a description of the requested feature, which is the core substantive content.",1,1,0,0,0
immich-app.immich,11,pr,,2023-04-06 12:23:06,.github/PULL_REQUEST_TEMPLATE/pull_request_template.md,Description,## Description,TRUE,high,1,"This section is intended for a detailed explanation of the changes and their purpose, which is core to understanding the substantive content.",1,1,0,0,0
immich-app.immich,11,pr,,2023-04-06 12:23:06,.github/PULL_REQUEST_TEMPLATE/pull_request_template.md,How Has This Been Tested?,## How Has This Been Tested?,FALSE,low,0,"This section is about the testing process and configuration, not about the actual changes or their rationale.",0,0,0,0,1
immich-app.immich,11,pr,,2025-02-04 10:06:54,.github/pull_request_template.md,API Changes,## API Changes,TRUE,high,1,"This section is for describing specific changes to API endpoints, which is substantive and directly related to what is being changed.",1,1,0,0,0
immich-app.immich,11,pr,,2025-09-03 16:11:24,.github/pull_request_template.md,"Please describe to which degree, if any, an LLM was used in creating this pull request","## Please describe to which degree, if any, an LLM was used in creating this pull request.",FALSE,low,0,"This section is about the process or tooling used, not the substantive content of the change.",0,0,0,0,1
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2021-10-01 21:57:58,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Logs,## Logs,TRUE,medium,1,"This section provides client logs that can help diagnose the bug, offering supporting technical details.",0,0,1,0,0
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2021-10-01 21:57:58,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,FFmpeg logs,## FFmpeg logs,TRUE,medium,1,"This section requests FFmpeg logs, which are relevant for debugging media playback issues.",0,0,1,0,0
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2021-10-01 21:57:58,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Media info of the file,## Media info of the file,TRUE,medium,1,"This section asks for technical details about the problematic media file, which can be crucial for reproducing and fixing the bug.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2021-10-01 21:57:58,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Application version,## Application version,FALSE,low,0,"This section collects metadata about the app version, which is procedural and not a description of the bug itself.",0,0,0,0,1
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2021-10-01 21:57:58,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Device information,## Device information,FALSE,low,0,"This section gathers metadata about the device, which is useful for context but not substantive content about the bug.",0,0,0,0,1
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2021-10-01 21:57:58,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Android version,## Android version,FALSE,low,0,"This section requests OS version metadata, which is administrative rather than descriptive of the bug.",0,0,0,0,1
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2021-10-01 21:57:58,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Jellyfin server version,## Jellyfin server version,FALSE,low,0,"This section asks for server version metadata, which is procedural and not about the actual bug content.",0,0,0,0,1
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,This issue respects the following points,## This issue respects the following points:,FALSE,low,0,"This section is a checklist to ensure procedural requirements are met, not about the substantive bug content.",1,0,0,1,0
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Bug information,## Bug information,FALSE,low,0,This is a placeholder header with no content or prompt; it does not provide or request meaningful information.,1,0,0,1,0
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Client logs,## Client logs,TRUE,medium,1,"This section requests client-side logs, which can provide evidence and context for the bug.",0,0,1,0,0
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Where did you install the app from?,## Where did you install the app from?,FALSE,low,0,"This section requests metadata about the installation source, which is procedural.",0,0,0,0,1
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Additional,## Additional,TRUE,medium,1,"This section allows for any extra relevant information, which can provide important context or details about the bug.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,issue,bug-report-playback,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/bug-report-playback.yaml,Other sources,## Other sources,TRUE,medium,1,"This section requests links to related discussions, which can provide context or prior analysis relevant to the bug.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,issue,feature-request,2020-04-21 15:18:55,.github/ISSUE_TEMPLATE/feature_request.md,Describe the feature you'd like,**Describe the feature you'd like**,TRUE,high,1,"This section asks for a clear description of the requested feature, which is the core substantive content.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,issue,feature-request,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/feature-request.yaml,This request respects the following points,## This request respects the following points:,FALSE,low,0,"This section is a checklist to ensure procedural requirements are met, not substantive content.",1,0,0,1,0
jellyfin.jellyfin-androidtv,12,issue,feature-request,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/feature-request.yaml,Problem description,## Problem description,TRUE,high,1,"This section describes the actual issue or gap, which is core to understanding the feature request.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,issue,feature-request,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/feature-request.yaml,Proposed solution,## Proposed solution,TRUE,high,1,"This section details what the requester wants to be implemented, which is central to the feature request.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,issue,feature-request,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/feature-request.yaml,Alternatives considered,## Alternatives considered,TRUE,medium,1,"This section provides context on other possible solutions, supporting understanding of the request.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,issue,feature-request,2025-01-05 15:56:08,.github/ISSUE_TEMPLATE/feature-request.yaml,Other sources,## Other sources,FALSE,low,0,"This section is for linking external discussions, which is supplementary and not about the substantive change.",1,0,0,1,0
jellyfin.jellyfin-androidtv,12,issue,media-playback,2020-04-21 15:11:55,.github/ISSUE_TEMPLATE/media_playback.md,Checks,**Checks**,FALSE,low,0,This section is a checklist to confirm the issue is not browser-specific; it does not describe the actual issue.,0,0,0,0,1
jellyfin.jellyfin-androidtv,12,issue,media-playback,2020-04-21 15:11:55,.github/ISSUE_TEMPLATE/media_playback.md,Media Info of the file,**Media Info of the file**,TRUE,high,1,"This section contains technical details about the media file involved in the issue, which are crucial for understanding and diagnosing the problem.",0,0,1,0,0
jellyfin.jellyfin-androidtv,12,issue,media-playback,2020-04-21 15:11:55,.github/ISSUE_TEMPLATE/media_playback.md,FFmpeg Logs,**FFmpeg Logs**,TRUE,medium,1,"This section contains FFmpeg logs, which are important if transcoding or remuxing is involved, but may not always be applicable.",0,0,1,0,0
jellyfin.jellyfin-androidtv,12,issue,media-playback,2020-04-21 15:11:55,.github/ISSUE_TEMPLATE/media_playback.md,System,**System:**,TRUE,medium,1,"This section provides system and environment details, which are important for context but not the core issue description.",0,0,1,0,0
jellyfin.jellyfin-androidtv,12,pr,,2020-04-21 15:11:35,.github/PULL_REQUEST_TEMPLATE/default.md,Changes,**Changes**,TRUE,high,1,"This section is for describing what was changed, which is the core substantive content.",1,1,0,0,0
jellyfin.jellyfin-androidtv,12,pr,,2020-04-21 15:11:35,.github/PULL_REQUEST_TEMPLATE/default.md,Issues,**Issues**,FALSE,low,0,"This section is for tagging related issues, which is metadata and not a description of the actual changes.",1,0,0,1,0
Jigsaw-Code.outline-apps,13,issue,bug-report,2019-02-04 14:34:30,.github/ISSUE_TEMPLATE/bug_report.md,Submit Feedback,**Submit Feedback**,FALSE,low,0,"This is a procedural instruction, not a section for substantive content.",0,0,0,0,1
Jigsaw-Code.outline-apps,13,issue,bug-report,2020-11-16 11:58:05,.github/ISSUE_TEMPLATE/bug_report.md,Client,**Client:**,FALSE,low,0,"This section collects metadata about the client environment, not about the bug's nature.",0,0,0,0,1
Jigsaw-Code.outline-apps,13,issue,bug-report,2020-11-16 11:58:05,.github/ISSUE_TEMPLATE/bug_report.md,Server,**Server:**,FALSE,low,0,"This section collects metadata about the server environment, not about the bug's substance.",0,0,0,0,1
Jigsaw-Code.outline-apps,13,issue,bug-report,2020-11-16 12:00:52,.github/ISSUE_TEMPLATE/bug_report.md,Client System,**Client System:**,FALSE,low,0,"This section collects metadata about the user's environment, not about the bug's content.",0,0,0,0,1
